Date of Purchase,Old Purchaser Name,Purchaser,Denomination,Purchaser Group
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,1000000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,1000000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,1000000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ACROPOLIS MAINTENANCE SERVICES PRIVATE LTD,100000,Others
4/12/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ACROPOLIS MAINTENANCE SERVICES PRIVATE LTD,1000000,Others
4/12/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ACROPOLIS MAINTENANCE SERVICES PRIVATE LTD,100000,Others
4/12/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ACROPOLIS MAINTENANCE SERVICES PRIVATE LTD,100000,Others
4/12/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ACROPOLIS MAINTENANCE SERVICES PRIVATE LTD,100000,Others
4/12/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ACROPOLIS MAINTENANCE SERVICES PRIVATE LTD,100000,Others
4/12/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ACROPOLIS MAINTENANCE SERVICES PRIVATE LTD,1000000,Others
4/12/2019,ARIHANT ENTERPRISES,ARIHANT ENTERPRISES,1000000,Others
4/12/2019,ARIHANT ENTERPRISES,ARIHANT ENTERPRISES,1000000,Others
4/12/2019,ARIHANT ENTERPRISES,ARIHANT ENTERPRISES,1000000,Others
4/12/2019,ARIHANT ENTERPRISES,ARIHANT ENTERPRISES,1000000,Others
4/12/2019,CHOUDHARY GARMENTS,CHOUDHARY GARMENTS,1000000,Others
4/12/2019,CHOUDHARY GARMENTS,CHOUDHARY GARMENTS,1000000,Others
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,1000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,1000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,1000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,1000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,1000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,1000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,1000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,1000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,1000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,1000000,ESSEL MINING AND INDS LTD
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,10000000,Others
4/12/2019,HIGHSTREET CRUISES AND ENTERTAINMENT PVT LTD,HIGHSTREET CRUISES AND ENTERTAINMENT PVT LTD,1000000,Others
4/12/2019,HIGHSTREET CRUISES AND ENTERTAINMENT PVT LTD,HIGHSTREET CRUISES AND ENTERTAINMENT PVT LTD,1000000,Others
4/12/2019,HIGHSTREET CRUISES AND ENTERTAINMENT PVT LTD,HIGHSTREET CRUISES AND ENTERTAINMENT PVT LTD,1000000,Others
4/12/2019,INNOCENT MERCHANDISE PVT LTD,INNOCENT MERCHANDISE PVT LTD,1000000,Others
4/12/2019,INNOCENT MERCHANDISE PVT LTD,INNOCENT MERCHANDISE PVT LTD,100000,Others
4/12/2019,INNOCENT MERCHANDISE PVT LTD,INNOCENT MERCHANDISE PVT LTD,100000,Others
4/12/2019,INNOCENT MERCHANDISE PVT LTD,INNOCENT MERCHANDISE PVT LTD,100000,Others
4/12/2019,INNOCENT MERCHANDISE PVT LTD,INNOCENT MERCHANDISE PVT LTD,100000,Others
4/12/2019,INNOCENT MERCHANDISE PVT LTD,INNOCENT MERCHANDISE PVT LTD,1000000,Others
4/12/2019,INNOCENT MERCHANDISE PVT LTD,INNOCENT MERCHANDISE PVT LTD,100000,Others
4/12/2019,KAMLANG SAW & VENEER MILLS PVT LTD,KAMLANG SAW & VENEER MILLS PVT LTD,1000000,Others
4/12/2019,KAMLANG SAW & VENEER MILLS PVT LTD,KAMLANG SAW & VENEER MILLS PVT LTD,1000000,Others
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LTD,10000000,MEGHA ENGINEERING & INFRASTRUCTURES LTD
4/12/2019,MERLIN RECREATION PVT LTD,MERLIN RECREATION PVT LTD,100000,Others
4/12/2019,MERLIN RECREATION PVT LTD,MERLIN RECREATION PVT LTD,1000000,Others
4/12/2019,MERLIN RECREATION PVT LTD,MERLIN RECREATION PVT LTD,100000,Others
4/12/2019,MERLIN RECREATION PVT LTD,MERLIN RECREATION PVT LTD,100000,Others
4/12/2019,MERLIN RECREATION PVT LTD,MERLIN RECREATION PVT LTD,1000000,Others
4/12/2019,MERLIN RECREATION PVT LTD,MERLIN RECREATION PVT LTD,100000,Others
4/12/2019,MERLIN RECREATION PVT LTD,MERLIN RECREATION PVT LTD,100000,Others
4/12/2019,MSPL LTD,MSPL LTD,10000000,Others
4/12/2019,MYRIAD DEVELOPERS,MYRIAD DEVELOPERS,100000,Others
4/12/2019,MYRIAD DEVELOPERS,MYRIAD DEVELOPERS,100000,Others
4/12/2019,MYRIAD DEVELOPERS,MYRIAD DEVELOPERS,100000,Others
4/12/2019,MYRIAD DEVELOPERS,MYRIAD DEVELOPERS,100000,Others
4/12/2019,MYRIAD DEVELOPERS,MYRIAD DEVELOPERS,1000000,Others
4/12/2019,MYRIAD DEVELOPERS,MYRIAD DEVELOPERS,100000,Others
4/12/2019,OMKAR VENTURES PVT LTD,OMKAR VENTURES PVT LTD,10000000,Others
4/12/2019,OMKAR VENTURES PVT LTD,OMKAR VENTURES PVT LTD,10000000,Others
4/12/2019,OMKAR VENTURES PVT LTD,OMKAR VENTURES PVT LTD,10000000,Others
4/12/2019,OMKAR VENTURES PVT LTD,OMKAR VENTURES PVT LTD,10000000,Others
4/12/2019,PATEL HIGHWAY MANAGEMENT PVT LTD,PATEL HIGHWAY MANAGEMENT PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
4/12/2019,PHL FINIVEST PVT LTD,PHL FINIVEST PVT LTD,10000000,Others
